provider_id,workload_hours,stress_level,absenteeism_days,satisfaction_score,burnout_risk
P000000,52,8,2,10,32
P000001,53,10,2,10,40
P000002,38,10,1,10,29
P000003,47,9,3,1,61
P000004,53,7,5,10,44
P000005,59,6,2,1,55
P000006,59,8,3,10,37
P000007,52,9,1,10,38
P000008,58,7,3,10,43
P000009,44,6,3,10,23
P000010,50,7,2,10,33
P000011,54,8,2,10,40
P000012,47,7,2,1,58
P000013,51,6,1,10,25
P000014,38,6,5,10,25
P000015,53,8,2,10,34
P000016,37,7,2,1,47
P000017,44,6,2,10,16
P000018,46,10,3,1,65
P000019,44,7,5,10,38
P000020,54,10,0,10,32
P000021,60,10,1,1,58
P000022,54,8,1,1,61
P000023,53,10,4,10,48
P000024,50,7,2,10,28
P000025,38,7,2,10,31
P000026,54,8,1,10,40
P000027,38,8,5,10,37
P000028,60,8,4,1,62
P000029,56,7,1,10,25
P000030,58,10,5,1,72
P000031,60,7,2,1,51
P000032,51,10,3,1,55
P000033,41,6,2,10,26
P000034,33,9,3,10,29
P000035,54,8,2,10,27
P000036,60,7,1,10,28
P000037,42,7,1,10,27
P000038,54,6,3,1,56
P000039,55,8,1,10,31
P000040,51,9,6,10,39
P000041,40,8,1,1,53
P000042,57,7,5,10,35
P000043,60,10,2,10,44
P000044,53,7,0,10,27
P000045,60,6,2,1,59
P000046,48,9,2,10,36
P000047,53,7,4,1,53
P000048,58,10,2,1,70
P000049,55,9,3,10,33
P000050,60,10,0,10,48
P000051,50,7,1,10,37
P000052,44,6,3,1,48
P000053,46,7,2,10,35
P000054,51,8,2,10,30
P000055,45,7,3,10,27
P000056,52,6,1,10,21
P000057,60,10,3,10,45
P000058,45,9,4,10,31
P000059,53,10,3,1,67
P000060,56,8,1,10,29
P000061,60,8,2,1,60
P000062,40,9,4,10,38
P000063,47,6,2,10,21
P000064,53,10,2,10,41
P000065,57,10,4,10,50
P000066,42,6,0,1,48
P000067,47,8,4,1,68
P000068,53,10,1,10,43
P000069,57,7,4,1,58
P000070,36,10,2,10,25
P000071,48,7,0,10,28
P000072,36,9,2,1,46
P000073,52,10,2,10,46
P000074,52,9,1,10,42
P000075,45,10,4,10,35
P000076,38,9,2,1,52
P000077,60,8,1,1,61
P000078,56,9,5,10,50
P000079,48,8,1,10,32
P000080,45,7,1,10,35
P000081,53,8,5,10,45
P000082,59,9,3,1,69
P000083,57,7,4,10,35
P000084,47,6,4,10,25
P000085,45,10,3,10,43
P000086,49,7,6,10,37
P000087,52,7,3,1,55
P000088,53,8,0,10,38
P000089,50,6,2,10,29
P000090,50,9,3,10,40
P000091,55,9,5,10,40
P000092,53,9,6,10,52
P000093,57,6,3,1,71
P000094,33,6,1,1,46
P000095,51,8,2,1,61
P000096,40,9,2,1,50
P000097,57,10,3,1,69
P000098,55,10,1,10,49
P000099,48,8,2,1,55
P000100,60,8,5,10,47
P000101,57,8,3,1,60
P000102,47,6,1,10,17
P000103,50,6,1,1,43
P000104,52,9,3,10,27
P000105,42,6,2,1,43
P000106,49,7,4,10,33
P000107,42,9,2,10,37
P000108,50,9,1,1,46
P000109,52,9,3,1,65
P000110,43,8,2,10,27
P000111,47,9,3,10,40
P000112,60,7,6,1,63
P000113,47,10,3,10,36
P000114,45,7,4,10,32
P000115,56,6,0,1,60
P000116,50,9,3,10,43
P000117,38,6,1,10,10
P000118,47,8,1,10,33
P000119,48,10,5,10,48
P000120,53,6,3,1,50
P000121,51,6,4,10,36
P000122,60,9,1,1,69
P000123,49,8,2,10,43
P000124,57,10,2,10,46
P000125,58,6,1,10,35
P000126,38,8,3,1,51
P000127,53,8,1,10,40
P000128,47,8,0,1,57
P000129,60,8,1,1,65
P000130,49,7,3,1,57
P000131,52,7,2,10,35
P000132,35,6,3,10,21
P000133,56,8,2,10,32
P000134,60,10,0,10,48
P000135,47,7,3,1,56
P000136,54,6,4,10,35
P000137,51,6,4,10,34
P000138,45,9,4,10,35
P000139,54,10,4,10,41
P000140,58,6,2,10,34
P000141,60,7,1,1,63
P000142,58,8,1,1,54
P000143,49,9,4,10,35
P000144,48,9,0,1,57
P000145,45,10,1,10,35
P000146,33,6,1,10,10
P000147,57,10,4,10,44
P000148,53,6,0,10,26
P000149,51,8,3,10,46
P000150,59,10,1,10,46
P000151,60,9,4,1,74
P000152,32,8,2,10,20
P000153,47,6,2,1,49
P000154,50,8,1,10,27
P000155,54,8,3,10,37
P000156,48,7,2,1,56
P000157,44,6,7,1,52
P000158,32,10,2,10,33
P000159,51,9,1,10,38
P000160,49,6,5,10,34
P000161,54,9,2,10,33
P000162,43,10,2,10,41
P000163,58,6,5,1,64
P000164,40,9,1,10,32
P000165,49,7,0,10,31
P000166,51,9,5,10,41
P000167,57,7,2,10,41
P000168,60,6,4,10,49
P000169,60,6,2,1,58
P000170,52,10,2,1,68
P000171,52,7,5,1,69
P000172,43,9,2,10,40
P000173,49,10,5,1,82
P000174,44,7,3,1,49
P000175,58,10,2,10,51
P000176,60,6,3,10,44
P000177,60,8,2,10,40
P000178,60,8,4,1,76
P000179,36,8,4,10,22
P000180,46,6,2,10,30
P000181,50,10,3,1,68
P000182,49,7,2,10,33
P000183,54,10,3,10,39
P000184,35,6,0,10,12
P000185,31,10,1,10,26
P000186,60,10,2,10,49
P000187,39,10,1,1,53
P000188,60,10,2,1,64
P000189,47,9,2,1,58
P000190,52,7,1,1,56
P000191,53,8,2,1,57
P000192,39,6,1,1,55
P000193,40,8,4,10,31
P000194,52,10,2,1,67
P000195,55,9,0,10,39
P000196,46,7,7,10,42
P000197,45,8,3,1,57
P000198,46,7,3,10,31
P000199,48,10,3,1,60
P000200,40,6,4,1,51
P000201,51,7,1,10,27
P000202,30,7,5,10,16
P000203,51,9,0,1,50
P000204,52,9,6,10,53
P000205,55,8,2,10,37
P000206,57,6,1,10,33
P000207,58,9,6,10,49
P000208,60,9,0,10,44
P000209,58,6,2,10,33
P000210,46,6,3,10,26
P000211,44,7,2,1,50
P000212,42,8,4,10,20
P000213,43,8,1,1,47
P000214,51,7,1,1,52
P000215,55,6,3,1,56
P000216,48,6,6,1,53
P000217,40,9,5,1,61
P000218,54,8,3,10,31
P000219,36,9,0,1,41
P000220,44,8,1,10,31
P000221,49,9,2,10,35
P000222,53,10,4,1,66
P000223,58,6,2,1,55
P000224,42,6,3,1,48
P000225,56,6,2,1,58
P000226,34,8,2,10,25
P000227,38,10,3,1,55
P000228,54,6,1,1,50
P000229,41,10,3,10,28
P000230,57,7,1,1,57
P000231,54,10,2,10,37
P000232,48,10,4,1,79
P000233,33,8,5,1,50
P000234,48,8,4,10,36
P000235,58,7,3,1,70
P000236,48,8,1,10,43
P000237,58,7,4,10,40
P000238,52,9,0,10,26
P000239,39,7,3,10,29
P000240,60,9,4,10,43
P000241,50,9,5,10,50
P000242,45,6,3,1,48
P000243,54,8,1,10,33
P000244,47,6,1,10,24
P000245,48,7,3,10,33
P000246,37,9,3,10,24
P000247,60,8,2,10,31
P000248,48,6,1,1,43
P000249,55,8,0,1,59
P000250,44,6,2,1,40
P000251,51,8,3,1,54
P000252,35,9,3,10,31
P000253,45,7,0,1,48
P000254,59,10,3,10,43
P000255,60,6,2,1,56
P000256,60,6,0,10,32
P000257,50,10,4,10,30
P000258,60,9,0,1,63
P000259,59,8,2,10,40
P000260,57,6,2,1,56
P000261,51,10,2,10,35
P000262,42,6,2,10,23
P000263,48,8,1,10,31
P000264,54,9,2,1,67
P000265,44,9,5,1,58
P000266,39,6,3,10,21
P000267,50,7,3,10,36
P000268,39,9,2,10,30
P000269,50,7,3,10,36
P000270,36,6,4,10,22
P000271,45,10,1,10,32
P000272,51,8,4,10,29
P000273,45,8,1,10,32
P000274,40,10,2,10,27
P000275,44,6,1,10,20
P000276,42,9,2,10,34
P000277,44,6,5,10,21
P000278,40,8,2,10,31
P000279,49,7,2,10,39
P000280,44,8,2,1,49
P000281,58,9,1,1,61
P000282,50,9,3,1,65
P000283,45,7,6,10,42
P000284,33,10,4,10,28
P000285,46,6,2,10,29
P000286,55,6,1,10,21
P000287,57,8,0,10,39
P000288,42,6,6,10,38
P000289,42,8,2,10,31
P000290,57,9,1,10,42
P000291,56,6,0,1,57
P000292,46,6,0,1,38
P000293,46,8,1,1,60
P000294,55,6,3,1,49
P000295,56,7,1,1,67
P000296,33,7,4,10,29
P000297,50,10,0,1,58
P000298,56,7,4,1,61
P000299,45,7,4,1,52
P000300,44,10,1,10,34
P000301,50,9,0,10,38
P000302,60,7,3,1,65
P000303,60,6,2,10,36
P000304,60,9,1,1,56
P000305,51,7,2,10,36
P000306,57,6,4,10,33
P000307,54,7,2,10,38
P000308,43,7,3,10,31
P000309,45,10,3,1,60
P000310,46,6,2,10,23
P000311,56,9,4,1,67
P000312,56,10,1,1,62
P000313,57,7,1,10,23
P000314,46,6,4,1,54
P000315,60,6,2,1,59
P000316,40,10,1,1,56
P000317,46,8,7,10,27
P000318,47,8,5,10,29
P000319,48,7,2,10,33
P000320,59,10,1,10,42
P000321,38,7,1,10,25
P000322,38,8,2,1,50
P000323,54,9,1,10,33
P000324,55,9,2,10,39
P000325,60,10,1,10,50
P000326,49,8,1,10,29
P000327,54,6,3,10,32
P000328,55,6,3,10,20
P000329,39,6,1,1,41
P000330,48,7,3,10,28
P000331,47,10,3,10,37
P000332,50,9,1,1,56
P000333,45,6,6,1,56
P000334,55,8,4,10,47
P000335,48,9,4,10,44
P000336,45,8,3,1,45
P000337,58,9,2,10,43
P000338,46,8,4,10,40
P000339,60,6,1,1,57
P000340,48,6,4,10,26
P000341,41,10,0,1,53
P000342,38,6,4,10,28
P000343,33,9,4,1,45
P000344,57,8,1,10,39
P000345,41,6,3,1,45
P000346,60,9,1,10,42
P000347,54,10,2,10,48
P000348,31,9,4,1,54
P000349,54,6,5,1,58
P000350,49,10,2,10,40
P000351,49,8,0,10,30
P000352,43,7,5,1,66
P000353,53,9,5,1,65
P000354,60,8,2,1,63
P000355,49,8,1,10,34
P000356,60,7,0,1,66
P000357,48,8,0,10,34
P000358,39,8,3,10,29
P000359,52,7,3,1,60
P000360,41,9,1,1,52
P000361,53,8,3,1,52
P000362,48,7,5,10,28
P000363,58,9,1,10,38
P000364,53,8,2,10,33
P000365,56,9,3,10,41
P000366,49,6,2,10,35
P000367,48,10,2,1,62
P000368,59,8,0,10,33
P000369,42,6,4,1,47
P000370,36,10,1,10,37
P000371,55,7,4,1,61
P000372,51,6,2,10,23
P000373,52,10,3,10,37
P000374,50,10,1,10,36
P000375,55,10,2,1,66
P000376,48,6,2,1,45
P000377,55,6,3,10,37
P000378,39,7,5,10,35
P000379,50,9,0,10,41
P000380,56,10,1,10,32
P000381,30,7,3,1,52
P000382,53,6,3,10,22
P000383,53,7,1,1,52
P000384,55,7,3,10,35
P000385,53,7,0,10,36
P000386,60,7,4,1,59
P000387,34,9,2,10,23
P000388,50,9,1,10,32
P000389,53,9,1,1,56
P000390,49,10,2,10,38
P000391,39,10,4,10,37
P000392,48,10,2,10,41
P000393,40,8,5,10,30
P000394,53,7,1,10,33
P000395,46,6,1,1,47
P000396,53,9,5,10,47
P000397,49,10,3,1,70
P000398,55,10,1,1,61
P000399,48,8,2,1,53
P000400,58,6,2,1,54
P000401,50,7,2,1,60
P000402,41,9,3,1,54
P000403,60,10,0,1,74
P000404,57,9,4,1,68
P000405,46,8,0,10,25
P000406,32,6,6,10,18
P000407,60,10,1,1,69
P000408,53,10,3,10,38
P000409,37,10,3,10,32
P000410,36,10,2,1,52
P000411,47,8,2,1,62
P000412,49,7,0,10,35
P000413,52,8,6,1,65
P000414,49,8,4,10,31
P000415,48,10,4,1,60
P000416,48,7,1,10,23
P000417,44,7,4,10,27
P000418,48,10,2,10,37
P000419,60,10,2,1,69
P000420,51,7,4,10,37
P000421,51,6,0,1,53
P000422,59,9,4,10,50
P000423,50,6,1,1,45
P000424,49,10,4,10,43
P000425,39,8,0,1,46
P000426,38,9,2,1,47
P000427,58,10,1,1,64
P000428,43,6,2,10,16
P000429,43,6,2,10,29
P000430,40,6,5,1,55
P000431,57,7,1,10,39
P000432,60,8,1,10,42
P000433,52,7,5,1,58
P000434,46,6,2,1,49
P000435,55,9,1,10,41
P000436,47,10,1,1,64
P000437,55,9,3,10,39
P000438,59,6,2,10,41
P000439,60,9,1,1,66
P000440,43,10,4,10,35
P000441,58,6,3,10,35
P000442,47,8,2,10,32
P000443,55,10,0,10,59
P000444,43,10,0,1,52
P000445,56,7,1,1,56
P000446,49,6,3,10,29
P000447,59,8,3,1,60
P000448,55,7,2,1,60
P000449,45,9,5,10,34
P000450,49,7,2,10,33
P000451,56,6,2,10,25
P000452,60,6,1,10,35
P000453,48,10,4,10,32
P000454,58,7,6,10,40
P000455,43,9,5,1,59
P000456,55,10,4,1,62
P000457,52,7,2,1,55
P000458,45,9,2,10,34
P000459,58,10,1,10,46
P000460,51,10,2,10,39
P000461,50,9,0,10,19
P000462,37,6,3,1,43
P000463,57,9,3,1,69
P000464,59,7,2,10,36
P000465,48,10,4,10,42
P000466,30,7,2,10,17
P000467,53,7,10,10,45
P000468,38,10,0,10,28
P000469,50,10,3,1,61
P000470,50,9,1,1,57
P000471,33,9,5,10,34
P000472,42,8,2,1,46
P000473,56,7,2,10,29
P000474,35,8,3,10,26
P000475,44,8,2,1,46
P000476,46,9,1,10,44
P000477,51,8,1,1,51
P000478,44,10,1,1,57
P000479,60,6,4,1,54
P000480,52,7,3,1,51
P000481,46,6,2,10,25
P000482,55,6,2,1,52
P000483,42,10,2,10,25
P000484,53,8,6,10,44
P000485,48,10,3,1,60
P000486,51,8,1,10,27
P000487,55,8,4,10,31
P000488,51,7,2,1,55
P000489,49,8,0,10,25
P000490,41,8,3,10,29
P000491,57,9,3,10,41
P000492,45,7,1,1,49
P000493,43,6,3,10,35
P000494,48,7,1,10,20
P000495,42,8,3,1,57
P000496,35,7,2,10,12
P000497,49,9,4,10,38
P000498,53,9,4,1,65
P000499,45,8,0,10,26
P000500,46,10,2,10,39
P000501,48,9,2,10,40
P000502,52,10,0,10,41
P000503,52,10,2,10,34
P000504,53,7,3,10,30
P000505,44,9,3,10,33
P000506,57,9,3,1,70
